,importance
RNA_SEQ__adipose__mean_abs,0.01924345051231056
RNA_SEQ__global__std,0.018445193641692732
RNA_SEQ__skin__mean_abs,0.01836630125683329
RNA_SEQ__muscle__mean_abs,0.016643602794933418
RNA_SEQ__brain__mean_abs,0.015351359682970326
RNA_SEQ__skin__max,0.014709401078353833
RNA_SEQ__global__mean_abs,0.01410523406077806
RNA_SEQ__heart__mean_abs,0.013966790479557515
DNASE__blood__mean_abs,0.013598184777144062
RNA_SEQ__liver__mean_abs,0.013597925120027705
RNA_SEQ__blood__mean_abs,0.013262130540397429
RNA_SEQ__lung__mean_abs,0.013191041130599067
RNA_SEQ__kidney__mean_abs,0.013056823729906977
RNA_SEQ__liver__max,0.013016903432756204
RNA_SEQ__kidney__max,0.01195890849309926
CHIP_TF__colon__mean_abs,0.011615033748493563
RNA_SEQ__adipose__max,0.011609926777677372
CHIP_TF__blood__mean_abs,0.011589163110670788
RNA_SEQ__colon__mean_abs,0.010993620163639032
RNA_SEQ__global__max,0.010913922666303947
CHIP_TF__adipose__max,0.010781941873420537
RNA_SEQ__heart__max,0.010676651938575248
RNA_SEQ__muscle__max,0.010642927610928799
RNA_SEQ__brain__max,0.010373737514290299
RNA_SEQ__lung__max,0.009937797542819966
ATAC__global__std,0.009468777657931787
DNASE__colon__mean_abs,0.009413356581235143
CHIP_HISTONE__heart__max,0.009283708267197504
RNA_SEQ__colon__max,0.009247514803500431
ATAC__heart__max,0.009222932254868995
RNA_SEQ__blood__max,0.00912840468326413
ATAC__heart__mean_abs,0.009056699797442384
CHIP_TF__adipose__mean_abs,0.008918610541783754
CHIP_TF__brain__mean_abs,0.008888174080217373
ATAC__muscle__mean_abs,0.008781064103623403
CHIP_HISTONE__liver__mean_abs,0.008707384564623092
CHIP_TF__heart__max,0.008705591095307962
CHIP_TF__blood__max,0.008658265822080109
CHIP_TF__global__max,0.008652836132261326
CHIP_TF__heart__mean_abs,0.00862089107196056
CHIP_TF__global__std,0.00858087931181082
DNASE__kidney__mean_abs,0.008508197331328297
DNASE__skin__mean_abs,0.008486211493169466
DNASE__lung__mean_abs,0.008448594903091487
CHIP_HISTONE__brain__mean_abs,0.008413404286646168
CHIP_HISTONE__blood__mean_abs,0.008404054717821375
CHIP_TF__global__mean_abs,0.008381992207237392
CHIP_HISTONE__global__std,0.008286629757605656
CHIP_TF__colon__max,0.008201851862446147
DNASE__liver__mean_abs,0.008187566651782953
CHIP_HISTONE__heart__mean_abs,0.008154755485159003
ATAC__kidney__mean_abs,0.008148422525417212
DNASE__muscle__mean_abs,0.007966725476488664
ATAC__muscle__max,0.007866673627448535
CHIP_HISTONE__lung__max,0.007826504723784529
ATAC__skin__mean_abs,0.0077699194217025445
CHIP_TF__kidney__max,0.007769183410375088
CHIP_TF__skin__mean_abs,0.007747780780214299
ATAC__skin__max,0.007747573783780101
CHIP_HISTONE__brain__max,0.007640561043833922
DNASE__brain__mean_abs,0.007632638018472588
DNASE__adipose__max,0.007622843509369613
ATAC__colon__mean_abs,0.007594689798389348
CHIP_HISTONE__kidney__mean_abs,0.00758731870737779
CHIP_HISTONE__kidney__max,0.007564463576670148
CHIP_TF__liver__mean_abs,0.007547752358071348
CHIP_TF__kidney__mean_abs,0.007546568319884757
ATAC__colon__max,0.007519673390664085
CHIP_TF__lung__mean_abs,0.0075064280819324685
CHIP_TF__muscle__mean_abs,0.00746974037562994
CHIP_HISTONE__lung__mean_abs,0.007468033996184548
CHIP_HISTONE__colon__mean_abs,0.007451040890734055
DNASE__global__mean_abs,0.007429887784358044
ATAC__blood__mean_abs,0.007412738420626296
DNASE__muscle__max,0.007367404971905741
ATAC__lung__max,0.007314530548880372
ATAC__liver__mean_abs,0.007302368681579865
CHIP_TF__muscle__max,0.007296057486140775
CHIP_HISTONE__muscle__max,0.0072615901177724654
DNASE__adipose__mean_abs,0.007256708913821012
CHIP_TF__liver__max,0.007241359386762835
CHIP_HISTONE__colon__max,0.007215576723510942
DNASE__heart__mean_abs,0.007212571121274201
CHIP_HISTONE__skin__max,0.007184498240290915
CHIP_TF__lung__max,0.00716457415635422
CHIP_HISTONE__blood__max,0.007147643126298985
ATAC__blood__max,0.007055625214027765
CHIP_HISTONE__skin__mean_abs,0.007046575773752811
DNASE__lung__max,0.007006796774528136
ATAC__global__mean_abs,0.006994532023560717
CHIP_TF__skin__max,0.0069806961177770665
CHIP_TF__brain__max,0.006887695477137079
ATAC__global__max,0.00688711733393376
CHIP_HISTONE__global__mean_abs,0.006795760376691879
DNASE__heart__max,0.00678888330631715
CHIP_HISTONE__adipose__mean_abs,0.0067609013023128975
CHIP_HISTONE__adipose__max,0.006738819944006655
CHIP_HISTONE__global__max,0.006720574468738003
ATAC__adipose__mean_abs,0.006661560970053672
DNASE__liver__max,0.006624630015895558
CHIP_HISTONE__liver__max,0.006591739345517339
DNASE__blood__max,0.00658545393840414
CHIP_HISTONE__muscle__mean_abs,0.006579530748049534
DNASE__global__max,0.006488344535731794
ATAC__liver__max,0.006487119440298937
ATAC__adipose__max,0.006469855859293811
DNASE__global__std,0.006426558556595284
DNASE__skin__max,0.006409221504205554
ATAC__kidney__max,0.0063083727023693845
ATAC__lung__mean_abs,0.006280727251095552
DNASE__brain__max,0.006270830571315487
DNASE__colon__max,0.0062176281124035485
DNASE__kidney__max,0.005676079696407571
ATAC__brain__mean_abs,0.0
ATAC__brain__max,0.0
